"bigram","year","n","category"
"artificial intelligence",2017,0,"AI / ML"
"artificial intelligence",2018,2,"AI / ML"
"artificial intelligence",2019,4,"AI / ML"
"artificial intelligence",2020,9,"AI / ML"
"artificial intelligence",2021,3,"AI / ML"
"artificial intelligence",2022,12,"AI / ML"
"artificial intelligence",2023,16,"AI / ML"
"artificial intelligence",2024,20,"AI / ML"
"climate change",2017,0,"Sustainability"
"climate change",2018,0,"Sustainability"
"climate change",2019,0,"Sustainability"
"climate change",2020,0,"Sustainability"
"climate change",2021,0,"Sustainability"
"climate change",2022,1,"Sustainability"
"climate change",2023,0,"Sustainability"
"climate change",2024,5,"Sustainability"
"cropping systems",2017,0,"Sustainability"
"cropping systems",2018,0,"Sustainability"
"cropping systems",2019,0,"Sustainability"
"cropping systems",2020,0,"Sustainability"
"cropping systems",2021,0,"Sustainability"
"cropping systems",2022,3,"Sustainability"
"cropping systems",2023,2,"Sustainability"
"cropping systems",2024,0,"Sustainability"
"deep learning",2017,0,"AI / ML"
"deep learning",2018,1,"AI / ML"
"deep learning",2019,0,"AI / ML"
"deep learning",2020,2,"AI / ML"
"deep learning",2021,2,"AI / ML"
"deep learning",2022,13,"AI / ML"
"deep learning",2023,3,"AI / ML"
"deep learning",2024,1,"AI / ML"
"eye screening",2017,0,"Declining"
"eye screening",2018,7,"Declining"
"eye screening",2019,0,"Declining"
"eye screening",2020,0,"Declining"
"eye screening",2021,0,"Declining"
"eye screening",2022,0,"Declining"
"eye screening",2023,0,"Declining"
"eye screening",2024,0,"Declining"
"food security",2017,0,"Sustainability"
"food security",2018,0,"Sustainability"
"food security",2019,0,"Sustainability"
"food security",2020,1,"Sustainability"
"food security",2021,0,"Sustainability"
"food security",2022,1,"Sustainability"
"food security",2023,1,"Sustainability"
"food security",2024,3,"Sustainability"
"greenhouse gas",2017,0,"Sustainability"
"greenhouse gas",2018,0,"Sustainability"
"greenhouse gas",2019,0,"Sustainability"
"greenhouse gas",2020,0,"Sustainability"
"greenhouse gas",2021,0,"Sustainability"
"greenhouse gas",2022,1,"Sustainability"
"greenhouse gas",2023,3,"Sustainability"
"greenhouse gas",2024,5,"Sustainability"
"image analysis",2017,0,"AI / ML"
"image analysis",2018,0,"AI / ML"
"image analysis",2019,0,"AI / ML"
"image analysis",2020,2,"AI / ML"
"image analysis",2021,1,"AI / ML"
"image analysis",2022,0,"AI / ML"
"image analysis",2023,4,"AI / ML"
"image analysis",2024,3,"AI / ML"
"learning models",2017,0,"AI / ML"
"learning models",2018,0,"AI / ML"
"learning models",2019,0,"AI / ML"
"learning models",2020,0,"AI / ML"
"learning models",2021,1,"AI / ML"
"learning models",2022,3,"AI / ML"
"learning models",2023,0,"AI / ML"
"learning models",2024,4,"AI / ML"
"machine learning",2017,0,"AI / ML"
"machine learning",2018,1,"AI / ML"
"machine learning",2019,6,"AI / ML"
"machine learning",2020,10,"AI / ML"
"machine learning",2021,8,"AI / ML"
"machine learning",2022,15,"AI / ML"
"machine learning",2023,15,"AI / ML"
"machine learning",2024,24,"AI / ML"
"meat analogues",2017,0,"Sustainability"
"meat analogues",2018,0,"Sustainability"
"meat analogues",2019,0,"Sustainability"
"meat analogues",2020,0,"Sustainability"
"meat analogues",2021,0,"Sustainability"
"meat analogues",2022,0,"Sustainability"
"meat analogues",2023,5,"Sustainability"
"meat analogues",2024,0,"Sustainability"
"neural networks",2017,0,"AI / ML"
"neural networks",2018,1,"AI / ML"
"neural networks",2019,1,"AI / ML"
"neural networks",2020,2,"AI / ML"
"neural networks",2021,2,"AI / ML"
"neural networks",2022,4,"AI / ML"
"neural networks",2023,1,"AI / ML"
"neural networks",2024,0,"AI / ML"
"pancreatic cancer",2017,0,"Declining"
"pancreatic cancer",2018,0,"Declining"
"pancreatic cancer",2019,0,"Declining"
"pancreatic cancer",2020,3,"Declining"
"pancreatic cancer",2021,0,"Declining"
"pancreatic cancer",2022,0,"Declining"
"pancreatic cancer",2023,0,"Declining"
"pancreatic cancer",2024,1,"Declining"
"rna degradation",2017,0,"Declining"
"rna degradation",2018,0,"Declining"
"rna degradation",2019,0,"Declining"
"rna degradation",2020,6,"Declining"
"rna degradation",2021,0,"Declining"
"rna degradation",2022,0,"Declining"
"rna degradation",2023,0,"Declining"
"rna degradation",2024,0,"Declining"
