"iso2","n_grants","total_mDKK","n_ds","pct_ds","country_name","flag","label"
"KE",2,8,0,0,"Kenya","🇰🇪","🇰🇪 Kenya"
"SG",1,13.4,0,0,"Singapore","🇸🇬","🇸🇬 Singapore"
"IN",3,13.6,0,0,"India","🇮🇳","🇮🇳 India"
"CA",4,16.2,0,0,"Canada","🇨🇦","🇨🇦 Canada"
"ZA",3,16.6,2,66.7,"South Africa","🇿🇦","🇿🇦 South Africa"
"BE",2,17.5,0,0,"Belgium","🇧🇪","🇧🇪 Belgium"
"AT",2,22,0,0,"Austria","🇦🇹","🇦🇹 Austria"
"CH",2,22.7,0,0,"Switzerland","🇨🇭","🇨🇭 Switzerland"
"AU",3,25.4,0,0,"Australia","🇦🇺","🇦🇺 Australia"
"DE",11,38.3,0,0,"Germany","🇩🇪","🇩🇪 Germany"
"GB",19,83,0,0,"United Kingdom","🇬🇧","🇬🇧 United Kingdom"
"GL",5,117.4,0,0,"Greenland","🇬🇱","🇬🇱 Greenland"
"FO",6,126.8,0,0,"Faroe Islands","🇫🇴","🇫🇴 Faroe Islands"
"MX",2,149.4,0,0,"Mexico","🇲🇽","🇲🇽 Mexico"
"NO",58,197.8,0,0,"Norway","🇳🇴","🇳🇴 Norway"
"ZZ",5,207.5,1,20,"ZZ",""," ZZ"
"FI",136,421.7,2,1.5,"Finland","🇫🇮","🇫🇮 Finland"
"US",26,682.5,0,0,"United States","🇺🇸","🇺🇸 United States"
"SE",309,1216.7,13,4.2,"Sweden","🇸🇪","🇸🇪 Sweden"
"DK",3029,34705.9,185,6.1,"Denmark","🇩🇰","🇩🇰 Denmark"
