"bigram","net_change","category","bar_color"
"eye screening",-7,"Declining","#C8DDD8"
"rna degradation",-6,"Declining","#C8DDD8"
"alzheimer’s disease",-4,"Declining","#C8DDD8"
"gene editing",-3,"Declining","#C8DDD8"
"image analysis",6,"AI / ML Methods","#1D9E75"
"climate change",6,"Sustainability","#0F6E56"
"living cells",6,"Other emerging","#5DCAA5"
"real time",6,"AI / ML Methods","#1D9E75"
"analytical tools",7,"Other emerging","#5DCAA5"
"learning models",8,"AI / ML Methods","#1D9E75"
"greenhouse gas",9,"Sustainability","#0F6E56"
"cutting edge",12,"Other emerging","#5DCAA5"
"learning methods",12,"AI / ML Methods","#1D9E75"
"deep learning",16,"AI / ML Methods","#1D9E75"
