"year","oecd_short","total_mDKK"
2017,"Health",3597.743721
2017,"Humanities",20.054759
2017,"Natural Sciences",760.354835
2017,"Social Sciences",52.910607
2018,"Engineering & Tech",14.775479
2018,"Health",2898.920431
2018,"Humanities",26.557674
2018,"Natural Sciences",342.382926
2018,"Social Sciences",2.2
2019,"Agriculture & Vet",397.659574
2019,"Engineering & Tech",139.884754
2019,"Health",3021.230518
2019,"Humanities",25.03556
2019,"Natural Sciences",138.587765
2019,"Social Sciences",32.498228
2020,"Agriculture & Vet",239.121735
2020,"Engineering & Tech",87.093231
2020,"Health",3130.530825
2020,"Humanities",8.809884
2020,"Natural Sciences",201.01792
2020,"Social Sciences",34.07512
2021,"Agriculture & Vet",344.613717
2021,"Engineering & Tech",188.973041
2021,"Health",5833.522913
2021,"Humanities",26.203929
2021,"Natural Sciences",485.552301
2021,"Social Sciences",229.216014
2022,"Agriculture & Vet",328.918571
2022,"Engineering & Tech",500.087763
2022,"Health",2744.423162
2022,"Humanities",49.895196
2022,"Natural Sciences",1551.94928
2022,"Social Sciences",440.714602
2023,"Agriculture & Vet",370.09521
2023,"Engineering & Tech",458.782903
2023,"Health",2886.360652
2023,"Humanities",28.197397
2023,"Natural Sciences",349.44897
2023,"Social Sciences",450.244774
2024,"Agriculture & Vet",1282.581443
2024,"Engineering & Tech",289.467938
2024,"Health",1958.721215
2024,"Humanities",37.101725
2024,"Natural Sciences",551.136656
2024,"Social Sciences",112.89466
