"funder_short","year","n","n_ds","pct_ds"
"Carlsberg Foundation",2018,249,10,4.01606425702811
"Carlsberg Foundation",2019,286,12,4.1958041958042
"Carlsberg Foundation",2020,286,8,2.7972027972028
"Carlsberg Foundation",2021,354,21,5.93220338983051
"Carlsberg Foundation",2022,292,20,6.84931506849315
"Carlsberg Foundation",2023,349,19,5.44412607449857
"Carlsberg Foundation",2024,351,21,5.98290598290598
"Independent Research Fund DK",2016,369,1,0.2710027100271
"Independent Research Fund DK",2017,360,4,1.11111111111111
"Independent Research Fund DK",2018,414,7,1.69082125603865
"Independent Research Fund DK",2019,391,18,4.60358056265985
"Independent Research Fund DK",2020,458,17,3.7117903930131
"Independent Research Fund DK",2021,437,13,2.97482837528604
"Independent Research Fund DK",2022,457,12,2.62582056892779
"Independent Research Fund DK",2023,545,20,3.6697247706422
"Independent Research Fund DK",2024,587,24,4.08858603066439
"Lundbeck Foundation",2016,158,0,0
"Lundbeck Foundation",2017,153,0,0
"Lundbeck Foundation",2018,154,1,0.649350649350649
"Lundbeck Foundation",2019,147,2,1.36054421768707
"Lundbeck Foundation",2020,132,1,0.757575757575758
"Lundbeck Foundation",2021,108,4,3.7037037037037
"Lundbeck Foundation",2022,120,2,1.66666666666667
"Lundbeck Foundation",2023,128,0,0
"Lundbeck Foundation",2024,178,3,1.68539325842697
"NNF",2017,338,0,0
"NNF",2018,332,5,1.50602409638554
"NNF",2019,367,11,2.99727520435967
"NNF",2020,458,26,5.67685589519651
"NNF",2021,459,29,6.31808278867102
"NNF",2022,592,32,5.40540540540541
"NNF",2023,549,44,8.01457194899818
"NNF",2024,547,56,10.2376599634369
"VELUX Foundation",2016,25,0,0
"VELUX Foundation",2017,36,0,0
"VELUX Foundation",2018,34,0,0
"VELUX Foundation",2019,24,1,4.16666666666667
"VELUX Foundation",2020,44,2,4.54545454545455
"VELUX Foundation",2021,30,1,3.33333333333333
"VELUX Foundation",2022,19,0,0
"VELUX Foundation",2023,25,1,4
"VELUX Foundation",2024,19,1,5.26315789473684
"Villum Foundation",2016,39,0,0
"Villum Foundation",2017,74,1,1.35135135135135
"Villum Foundation",2018,76,6,7.89473684210526
"Villum Foundation",2019,95,8,8.42105263157895
"Villum Foundation",2020,87,6,6.89655172413793
"Villum Foundation",2021,101,19,18.8118811881188
"Villum Foundation",2022,102,17,16.6666666666667
"Villum Foundation",2023,110,19,17.2727272727273
"Villum Foundation",2024,88,13,14.7727272727273
