"Year","Title","Domain","Instrument","Institution","Amount (mDKK)","Abstract"
2024,"ENSAFE: ENvironmental SAFEty of biotechnological plant protection products based on short interfering RNA and peptides","Agriculture & Vet","Programmes and collaborations","KU University of Copenhagen",60,"Facing an expected increase in food demand and with limited land available, minimizing crop loss is pivotal for ensuring food security. Chemical pesticides have been the primary tools to limit yield losses, however, their use is associated with adverse effects on the environment. Biotechnological..."
2024,"Disentangling the effect of Brain Insulin Resistance on Brain Health: The BIR-BrainHealth Project","Health","Programmes and collaborations","Capital Region of Denmark",59.67,"Individuals with diabetes face an elevated risk of cognitive impairment and dementia. To mitigate these risks, it is crucial to unravel the explanations and comprehend the underlying mechanisms involved. Existing research highlights that insulin sensitivity, vital not only in muscle and liver but..."
2024,"Tenure Track Assistant Professor - Amartya Sanyal","Natural Sciences","Investigators","KU University of Copenhagen",4,"Amartya Sanyal is an early-stage researcher who has delved into the nuanced areas of trustworthy machine learning, particularly in adversarial contexts, e.g. the challenges posed by adversarial settings (incl. preserving privacy), addressing concerns such as robustness against adversarial perturb..."
2024,"MIT - Integrating AI, Physics, and Microscopy to Uncover the Structure and Function of the Genome","Health","Fellowships","KU University of Copenhagen",4,"This project merges artificial intelligence, physics, and cutting-edge microscopy to investigate genome structure and its function in living cells. The genome structure regulates gene expression which is required to maintain life and its dysregulation causes diseases such as cancer and neurodevel..."
2024,"The Historical Medical Birth Register - a nationwide research infrastructure","Health","Infrastructure","Capital Region of Denmark",19.36,"The aim of this visionary project is to create a Historical Medical Birth Register by digitizing original paper midwife records and birth reports for the entire Danish population born from 1926-1973. It will use innovative artificial intelligence text recognition to convert handwritten records on..."
2024,"BioGLUE: Unified Danish ELIXIR Infrastructure for Seamless Data and Tool Interoperability","Health","Infrastructure","KU University of Copenhagen",14.7,"The BioGLUE project is tackling a common challenge in bioinformatics – the time-consuming task of gluing together different computational tools and data formats. Instead of manual effort, the aim of BioGLUE is to create a digital infrastructure that automatically generates the small computer prog..."
2024,"MIT - General Data Physics Coupling Pipeline for Next-generation Battery Modeling and Monitoring to Enhance Human Health and Sustainability","Natural Sciences","Fellowships","AAU Aalborg University",4,"Batteries have become ubiquitous energy storage devices in various aspects of human daily life, which contributes significantly to enhancing sustainability and convenience in modern living. This project investigates next-generation battery management with artificial intelligence and physics for h..."
2024,"Naturally Smart: Sustainable Food using Artificial Intelligence (AI4NaturalFood)","Agriculture & Vet","Investigators","KU University of Copenhagen",50,"Eating plant food instead of animal food helps the environment and our health. But to make the plant based foods we love, such as meat replacers, plant based dairy, margarine and mayonnaise, we need to strongly refine the plant ingredients. This costs a lot of water and energy, and creates a lot ..."
2024,"Integrating electrocardiogram and other prehospital diagnostics to improve patient outcomes","Health","Investigators","North Denmark Region",9.97,"The electrocardiogram (ECG), a low-cost and readily available test of the heart’s electrical system, holds promise to improve detection of critical conditions in the prehospital setting to improve outcomes. We propose a shift to a broader inclusion of ECG abnormalities, symptoms, and vital signs ..."
2024,"SDU Bioimaging Core Facility Upgrade","Engineering & Tech","Infrastructure","SDU University of Southern Denmark",2.96,"This application seeks funding for the Danish Molecular Biomedical Imaging Centre (DaMBIC) at the University of Southern Denmark (SDU) to sustain and enhance its bioimaging infrastructure. As a core facility, DaMBIC supports over 200 researchers across various faculties and collaborates with Dani..."
