"org_name","n_grants","total_mDKK","n_ds","pct_ds"
"Broad Institute",1,298.3,0,0
"Karolinska Institute",92,323.102363,0,0
"AAU Aalborg University",53,340.859065,11,20.8
"Lund University",67,436.89665,5,7.5
"Central Denmark Region",113,523.351891,1,0.9
"Region Zealand",28,803.293324,1,3.6
"Nationalt Genom Center",3,1022.1,0,0
"BioInnovation Institute Fonden",5,1227.69195,0,0
"SDU University of Southern Denmark",164,1279.11689,10,6.1
"Region of Southern Denmark",80,1536.839602,2,2.5
"Steno Diabetes Centers",58,1809.209515,1,1.7
"Capital Region of Denmark",387,2209.386173,17,4.4
"DTU Technical University of Denmark",269,3216.87477,34,12.6
"AU Aarhus University",568,4744.843266,25,4.4
"KU University of Copenhagen",910,13658.004736,73,8
