"from","to","weight","width","title","color"
"learning","machine",146,5,"learning + machine: 146 co-occurrences","#cccccc"
"learning","methods",99,3.46739130434783,"learning + methods: 99 co-occurrences","#cccccc"
"artificial","intelligence",79,2.81521739130435,"artificial + intelligence: 79 co-occurrences","#cccccc"
"deep","learning",72,2.58695652173913,"deep + learning: 72 co-occurrences","#cccccc"
"cell","cells",71,2.55434782608696,"cell + cells: 71 co-occurrences","#cccccc"
"cancer","cells",60,2.19565217391304,"cancer + cells: 60 co-occurrences","#cccccc"
"machine","methods",55,2.03260869565217,"machine + methods: 55 co-occurrences","#cccccc"
"learning","science",54,2,"learning + science: 54 co-occurrences","#cccccc"
"develop","methods",53,1.96739130434783,"develop + methods: 53 co-occurrences","#cccccc"
"develop","learning",50,1.8695652173913,"develop + learning: 50 co-occurrences","#cccccc"
"clinical","quality",49,1.83695652173913,"clinical + quality: 49 co-occurrences","#cccccc"
"disease","risk",49,1.83695652173913,"disease + risk: 49 co-occurrences","#cccccc"
"learning","models",48,1.80434782608696,"learning + models: 48 co-occurrences","#cccccc"
"disease","health",46,1.73913043478261,"disease + health: 46 co-occurrences","#cccccc"
"networks","social",46,1.73913043478261,"networks + social: 46 co-occurrences","#cccccc"
"protein","proteins",45,1.70652173913043,"protein + proteins: 45 co-occurrences","#cccccc"
"deep","methods",44,1.67391304347826,"deep + methods: 44 co-occurrences","#cccccc"
"learning","time",42,1.60869565217391,"learning + time: 42 co-occurrences","#cccccc"
"methods","time",39,1.51086956521739,"methods + time: 39 co-occurrences","#cccccc"
"energy","materials",38,1.47826086956522,"energy + materials: 38 co-occurrences","#cccccc"
"health","patient",38,1.47826086956522,"health + patient: 38 co-occurrences","#cccccc"
"machine","science",38,1.47826086956522,"machine + science: 38 co-occurrences","#cccccc"
"diabetes","disease",37,1.44565217391304,"diabetes + disease: 37 co-occurrences","#cccccc"
"health","risk",37,1.44565217391304,"health + risk: 37 co-occurrences","#cccccc"
"healthcare","quality",37,1.44565217391304,"healthcare + quality: 37 co-occurrences","#cccccc"
"images","learning",37,1.44565217391304,"images + learning: 37 co-occurrences","#cccccc"
"develop","machine",36,1.41304347826087,"develop + machine: 36 co-occurrences","#cccccc"
"health","individuals",36,1.41304347826087,"health + individuals: 36 co-occurrences","#cccccc"
"health","science",36,1.41304347826087,"health + science: 36 co-occurrences","#cccccc"
"health","system",36,1.41304347826087,"health + system: 36 co-occurrences","#cccccc"
"learning","tools",36,1.41304347826087,"learning + tools: 36 co-occurrences","#cccccc"
"obesity","risk",36,1.41304347826087,"obesity + risk: 36 co-occurrences","#cccccc"
"care","health",35,1.3804347826087,"care + health: 35 co-occurrences","#cccccc"
"develop","diseases",35,1.3804347826087,"develop + diseases: 35 co-occurrences","#cccccc"
"develop","models",35,1.3804347826087,"develop + models: 35 co-occurrences","#cccccc"
"methods","models",35,1.3804347826087,"methods + models: 35 co-occurrences","#cccccc"
"genetic","risk",34,1.34782608695652,"genetic + risk: 34 co-occurrences","#cccccc"
"diabetes","screening",33,1.31521739130435,"diabetes + screening: 33 co-occurrences","#cccccc"
"learning","medical",33,1.31521739130435,"learning + medical: 33 co-occurrences","#cccccc"
"disease","obesity",32,1.28260869565217,"disease + obesity: 32 co-occurrences","#cccccc"
"health","immune",32,1.28260869565217,"health + immune: 32 co-occurrences","#cccccc"
"health","learning",32,1.28260869565217,"health + learning: 32 co-occurrences","#cccccc"
"methods","tools",32,1.28260869565217,"methods + tools: 32 co-occurrences","#cccccc"
"cancer","drug",31,1.25,"cancer + drug: 31 co-occurrences","#cccccc"
"develop","science",31,1.25,"develop + science: 31 co-occurrences","#cccccc"
"development","learning",31,1.25,"development + learning: 31 co-occurrences","#cccccc"
"identify","risk",31,1.25,"identify + risk: 31 co-occurrences","#cccccc"
"machine","models",31,1.25,"machine + models: 31 co-occurrences","#cccccc"
"artificial","develop",30,1.21739130434783,"artificial + develop: 30 co-occurrences","#cccccc"
"cell","genetic",30,1.21739130434783,"cell + genetic: 30 co-occurrences","#cccccc"
"diabetes","risk",30,1.21739130434783,"diabetes + risk: 30 co-occurrences","#cccccc"
"human","learning",30,1.21739130434783,"human + learning: 30 co-occurrences","#cccccc"
"deep","images",29,1.18478260869565,"deep + images: 29 co-occurrences","#cccccc"
"develop","health",29,1.18478260869565,"develop + health: 29 co-occurrences","#cccccc"
"develop","intelligence",29,1.18478260869565,"develop + intelligence: 29 co-occurrences","#cccccc"
"disease","individuals",29,1.18478260869565,"disease + individuals: 29 co-occurrences","#cccccc"
"disease","methods",29,1.18478260869565,"disease + methods: 29 co-occurrences","#cccccc"
"diseases","human",29,1.18478260869565,"diseases + human: 29 co-occurrences","#cccccc"
"health","information",29,1.18478260869565,"health + information: 29 co-occurrences","#cccccc"
"patients","risk",29,1.18478260869565,"patients + risk: 29 co-occurrences","#cccccc"
"researchers","science",29,1.18478260869565,"researchers + science: 29 co-occurrences","#cccccc"
"science","systems",29,1.18478260869565,"science + systems: 29 co-occurrences","#cccccc"
"artificial","methods",28,1.15217391304348,"artificial + methods: 28 co-occurrences","#cccccc"
"cells","mutations",28,1.15217391304348,"cells + mutations: 28 co-occurrences","#cccccc"
"clinical","healthcare",28,1.15217391304348,"clinical + healthcare: 28 co-occurrences","#cccccc"
"clinical","patient",28,1.15217391304348,"clinical + patient: 28 co-occurrences","#cccccc"
"complex","learning",28,1.15217391304348,"complex + learning: 28 co-occurrences","#cccccc"
"diseases","risk",28,1.15217391304348,"diseases + risk: 28 co-occurrences","#cccccc"
"health","methods",28,1.15217391304348,"health + methods: 28 co-occurrences","#cccccc"
"learning","researchers",28,1.15217391304348,"learning + researchers: 28 co-occurrences","#cccccc"
